,0
0,878.439108579782
1,2635.221680865114
2,2371.2160955694644
3,842.9767303061449
4,5859.892966727063
5,731.6025685570235
6,12399.896020937356
7,2976.2454011688083
8,15373.81413971647
9,1905.3038551107948
10,5390.077081481749
11,810.3126186182135
12,6564.845138499242
13,1813.1210848486044
14,531.0324021604883
15,1823.1518414878292
16,1038.7286492359808
17,4325.636064364288
18,8751.88981825226
19,1887.7863496041168
20,560.1350701489469
21,678.0787286981508
22,8373.98416411127
23,5690.971898178445
24,3729.6173072388824
25,629.1499762753483
26,1990.3325374234003
27,2790.576018187846
28,2424.4438390402684
29,484.14282350731355
30,1397.9679614018055
31,774.1566629506747
32,7124.214840846625
33,1045.7053956249201
34,335.1866841737515
35,1562.2182259904766
36,3552.1591018324934
37,7263.052418757782
38,13514.943896885077
39,5971.055348764357
40,618.9699347087526
41,958.6240185481029
42,1865.4094231852878
43,1837.0114834197798
44,894.0020012258915
45,4366.829854853159
46,2352.022303497396
47,14540.92811984369
48,5303.023229218841
49,691.6780653311307
50,1732.5348555176633
51,4973.212090079464
52,3676.0036448810624
53,4298.294599543887
54,4310.058440491182
55,1391.3530718620905
56,1295.79468398592
57,2833.1360943815907
58,13474.517977995432
59,724.4663205013185
60,4611.343247652615
61,442.63694148681
62,4521.798945833754
63,2115.899742814459
64,1470.1548363610104
65,586.6501557491092
66,7527.835915601163
67,8861.829784534084
68,12094.909217268538
69,4979.821551432776
70,3937.4743758621
71,5182.504385310763
72,1513.4510325666083
73,604.6506554009839
74,4223.657279908286
75,1395.8549970577674
76,5107.5460176490615
77,984.6170403256988
78,1932.6409381241467
79,1744.6778026398388
80,419.30909506977287
81,6519.83868769162
82,1825.1031294771037
83,3802.298023689433
84,4045.3412994084415
85,4940.499391694839
86,664.1565606281338
87,939.6228413754511
88,3596.5712687746886
89,5659.0943632307935
90,480.3404949282108
91,5645.788992229889
92,1630.96077265013
93,6344.6720354570825
94,3456.3051731625815
95,1861.5601473725633
96,658.810355832728
97,4855.645267513536
98,4800.090491748137
99,682.9301903734136
100,876.9097662063223
101,1232.9422479643517
102,913.3525024728788
103,896.4890498551731
104,13717.429220912743
105,917.6924001981802
106,11354.392367473549
107,6134.146006680714
108,3722.2829594386913
109,1675.1903386545946
110,1041.3927808396124
111,2239.220137141814
112,1075.0441273836627
113,6724.824688937317
114,8816.012224514656
115,3084.6122541762497
116,14519.087199905991
117,4246.890664370539
118,924.752811434395
119,1014.6489909663669
120,2271.5826063450004
121,661.7190581802988
122,4628.816993086233
123,719.2023399395234
124,10252.350165671378
125,697.9461640666677
126,1966.4470483549344
127,1015.8869453966413
128,7831.609176317186
129,18062.00961025057
130,1355.9067025470536
131,716.5425044085846
132,2703.1805849830366
133,9127.330900821744
134,1256.7629412376773
135,3955.633091815951
136,557.6209528134718
137,387.81723586877524
138,12931.206256896427
139,3597.4349874807745
140,14628.114197272283
141,714.2665319887797
142,2419.693511730089
143,5463.454356204877
144,14773.65226018271
145,852.0791136217686
146,2316.740218881801
147,5378.996023828418
148,1424.8830608617454
149,700.6232677184721
150,14718.740369200781
151,862.2206094362668
152,1492.795987807107
153,1463.0729389926005
154,4984.690077131178
155,1728.3326557583937
156,3032.964418703993
157,795.9751734152769
158,3086.292449713522
159,2415.8054632508874
160,393.2347999533431
161,1614.972047949616
162,5523.195954407879
163,4709.960554469344
164,2925.9309152282867
165,2685.624730310752
166,653.4568089257455
167,1395.5088353140522
168,3635.4592257742966
169,3126.196215012207
170,835.174727401467
171,3800.1765626765914
172,3997.4078989755844
173,1519.314069117237
174,1668.8408322716077
175,1350.6161610319646
176,5752.25787026096
177,2841.0270073663246
178,1061.6465546562858
179,10186.555091814384
180,1058.747273845794
181,4050.358668305432
182,6484.203107950697
183,627.0994732119675
184,1267.8140155568935
185,2911.0285864293237
186,4570.9200852405265
187,4365.283939990763
188,504.9994504027045
189,5874.637025505286
190,710.9690826585957
191,744.8652443952383
192,15218.142960929352
193,823.3715467345564
194,5707.664548704959
195,689.7294895304435
196,746.8155857992087
197,848.1614880255256
198,724.18125396296
199,2481.318396143357
200,1007.5576235590893
201,6125.395256141492
202,767.5196780234514
203,12293.248795610889
204,3159.0606760075198
205,10443.672965218186
206,3630.55677013008
207,2479.259108704644
208,3908.842804156201
209,609.6735072744473
210,586.2281955920989
211,2447.5586632213017
212,5827.331665224608
213,7234.637934288314
